date,code,open,high,low,close,preclose,pctChg,volume,amount,ret,nav
2026-01-28,sh.000001,4150.2152,4170.1468,4138.0188,4151.2378,4139.9041,0.273767,82302674800,1365526057112.0,0.002737672111776668,1.0317692920049766
2026-01-29,sh.000001,4155.9185,4170.2138,4138.2992,4157.9845,4151.2378,0.162523,90590837100,1485795395416.2,0.001625226095214316,1.0334461503825838
2026-01-30,sh.000001,4131.9929,4152.8501,4064.7769,4117.9476,4157.9845,-0.962892,80434274600,1269855689027.9,-0.009628919973126204,1.0234951801040146
2026-02-02,sh.000001,4079.7075,4103.4073,4013.6557,4015.7464,4117.9476,-2.481848,73295369800,1163532654161.8,-0.02481847996317399,0.998093585484198
2026-02-03,sh.000001,4043.9061,4069.4179,4002.782,4067.7379,4015.7464,1.294691,63768424900,1110720213016.3,0.012946908201175278,1.0110158115116439
2026-02-04,sh.000001,4064.6772,4104.6207,4062.6825,4102.202,4067.7379,0.847255,67425424400,1063544769928.3,0.008472546866896247,1.0195816903578494
2026-02-05,sh.000001,4075.0254,4088.9041,4048.939,4075.9167,4102.202,-0.640761,59672223600,946988891270.6,-0.006407607426450523,1.0130486111468395
2026-02-06,sh.000001,4040.2992,4095.0303,4029.9731,4065.5834,4075.9167,-0.253521,55670980100,898655032959.0,-0.002535208827992075,1.010480321364675
2026-02-09,sh.000001,4103.5396,4123.1587,4093.0561,4123.0897,4065.5834,1.414466,57263258200,949726335965.8,0.01414466125575009,1.0247732232159796
2026-02-10,sh.000001,4127.7658,4134.3382,4117.5635,4128.3731,4123.0897,0.128142,52462096900,882201747043.8,0.0012814176708304537,1.0260863857328026
2026-02-11,sh.000001,4124.4277,4142.5612,4122.4283,4131.985,4128.3731,0.08749,50068527800,822607547250.8,0.0008748966996223739,1.0269841053252076
2026-02-12,sh.000001,4136.99,4140.5931,4124.1308,4134.0178,4131.985,0.049197,52937011600,897955034838.8,0.0004919669359884082,1.0274893475488134
2026-02-13,sh.000001,4115.9243,4123.8443,4079.7702,4082.0726,4134.0178,-1.256531,50079947200,846808337462.1,-0.01256530632258035,1.0145786291536742
2026-02-24,sh.000001,4129.1338,4131.5499,4105.9369,4117.4089,4082.0726,0.865646,56632224900,938611375999.8,0.008656460446097913,1.0233612889263994
2026-02-25,sh.000001,4123.7808,4167.8438,4122.6987,4147.2305,4117.4089,0.724281,72478721400,1085969561174.1,0.00724280748506656,1.0307732977297628
2026-02-26,sh.000001,4151.068,4152.1926,4127.1531,4146.6311,4147.2305,-0.014453,65170282600,1067198717434.1,-0.00014453018707305532,1.030624319872212
2026-02-27,sh.000001,4128.8974,4166.2344,4128.36,4162.8815,4146.6311,0.391894,68204764600,1072367831609.8,0.0039189403658310695,1.0346632751213665
2026-03-02,sh.000001,4151.8011,4188.7702,4131.3676,4182.5909,4162.8815,0.473456,86157921800,1345892469395.2,0.004734557061016442,1.0395619474363667
2026-03-03,sh.000001,4189.4079,4197.228,4116.011,4122.676,4182.5909,-1.432483,92113917000,1425790202336.2,-0.014324829138799955,1.0246704001601425
2026-03-04,sh.000001,4087.632,4106.0397,4055.4125,4082.474,4122.676,-0.975143,76516953100,1113081986077.5,-0.009751433292356726,1.0146783951063283
2026-03-05,sh.000001,4109.777,4125.6166,4090.6213,4108.567,4082.474,0.639147,68974653500,1068043734805.0,0.006391467526798644,1.0211636791187946
2026-03-06,sh.000001,4085.8954,4129.4647,4085.8954,4124.194,4108.567,0.380352,64676576000,978805927053.9,0.0038035159217313375,1.025047691431017
2026-03-09,sh.000001,4098.6987,4106.5336,4052.5454,4096.6023,4124.194,-0.66902,79780355600,1194106193208.4,-0.006690204195050176,1.0181899130656786
2026-03-10,sh.000001,4098.5869,4123.9578,4098.5869,4123.138,4096.6023,0.647749,67492219400,1036427205293.4,0.006477489894491484,1.0247852279382346
2026-03-11,sh.000001,4123.6663,4135.8392,4112.7998,4133.4331,4123.138,0.249691,70772716900,1063600874394.3,0.002496908907730022,1.0273440233023838
2026-03-12,sh.000001,4133.1996,4141.6488,4103.1636,4129.1026,4133.4331,-0.104768,78615118200,1078215329773.1,-0.001047676325038438,1.0262676992915
2026-03-13,sh.000001,4117.5738,4134.0794,4086.8469,4095.4485,4129.1026,-0.815046,79205476400,1063918169396.4,-0.008150463492963334,1.0179031418744173
